id	next	previous	captioning	pos	angle	audio	launchAngle
1	-1	-1		0.01699479,7.677481,10.8817	0,0,0.9999975		4.800015
2	-1	-1		5.476348,7.641996,38.0675	-0.1715424,0,0.9851767		4.950014
3	-1	-1		6.936907,8.867537,46.70975	-0.3383664,0,0.9410145		0.4500141
4	-1	-1		8.506072,8.262829,25.81037	0.5624094,0,0.8268589		2.550014
5	-1	-1		26.96514,8.304708,17.41483	0.1301326,0,-0.9914966		2.400013
6	-1	-1		41.54852,7.9006,18.20273	-0.02134068,0,-0.9997723		3.900012
7	-1	-1		33.08821,7.206027,66.03767	0.4348727,0,-0.9004921		7.050013
8	-1	-1		28.20631,8.431892,72.21573	0.9999409,0,-0.01087499		1.950009
9	-1	-1		44.89437,8.431892,75.36384	0.9999409,0,-0.01087499		1.950009
10	-1	-1		44.71331,8.098313,58.71581	0.999909,0,-0.01349258		3.150009
11	-1	-1		31.37718,8.911668,111.7169	0.9994209,0,-0.03402734		0.2999912
12	-1	-1		40.701,8.911668,111.3994	0.9994209,0,-0.03402734		0.2999912
13	-1	-1		42.24331,7.862274,98.03011	0.9999863,0,0		4.049991
14	-1	-1		31.20072,8.867543,147.84	0.9991229,0,-0.04187584		0.4499912
15	-1	-1		41.2469,8.431897,152.0797	0.9991229,0,-0.04187584		1.949991
16	-1	-1		46.01238,7.978524,138.5439	0.998489,0,-0.05495048		3.599992
17	-1	-1		31.19852,8.346863,184.263	0.9998767,0,-0.01570737		2.249991
18	-1	-1		41.89672,8.346863,187.4226	0.9998767,0,-0.01570737		2.249991
19	-1	-1		45.68446,7.71348,174.0421	0.9999863,0,0		4.649992
20	-1	-1		31.79104,8.561049,224.697	0.9997224,0,-0.02355981		1.499991
21	-1	-1		40.45073,8.561049,224.493	0.9997224,0,-0.02355981		1.499991
22	-1	-1		46.21757,7.642003,214.3658	0.9998767,0,-0.01570737		4.949991
23	-1	-1		-6.627195,7.71348,234.3668	0.7466382,0,0.6652303		4.649991
24	-1	-1		5.831369,9.000003,249.3713	0.1253331,0,0.9921147		-9.242445E-06
25	-1	-1		22.02052,7.179714,260.6108	0.09931967,0,0.9950556		7.199992
26	-1	-1		-31.42966,8.389261,241.2222	0,0,0.9999692		2.099993
27	-1	-1		-37.58218,9.610743,255.8	-0.02879403,0,0.9995854		-2.100006
28	-1	-1		-18.31241,7.206031,262.2585	0,0,0.9999966		7.049994
29	-1	-1		-23.28023,7.900605,221.1488	-0.9884939,0,0.151261		3.899992
30	-1	-1		-42.13705,8.474751,236.645	-0.9995065,0,0.03141099		1.799993
31	-1	-1		-43.06115,8.474751,207.2375	-0.9995065,0,0.03141099		1.799993
32	-1	-1		-10.28166,8.474751,142.3962	-0.9995065,0,0.03141099		1.799993
33	-1	-1		-18.36347,8.474751,54.61926	-0.9995065,0,0.03141099		1.799993
34	-1	-1		-42.78954,8.474751,67.37093	-0.9995065,0,0.03141099		1.799993
35	-1	-1		-43.10675,8.474751,36.08925	-0.9995065,0,0.03141099		1.799993
36	-1	-1		-11.84302,7.409012,25.25882	-0.2789907,0,0.9602938		5.999994
37	-1	-1		39.95406,7.179713,184.6185	-0.9997807,0,-0.02094233		7.199995
38	-1	-1		25.98222,7.824381,184.3781	-0.9999863,0,0		4.199994
39	-1	-1		20.01636,6.938578,196.3167	-0.9999965,0,0		8.849998

