ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/001/ch1-EN.png	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	76.03267	-10.5	0.2	1	Wooden_thin	-1:-1	0
2	./Images/001/ch1-JP.png	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	63.43724	-10.5	0.2	1	Wooden_thin	-1:-1	1
3	./Images/001/greeting-EN.png	37.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	13.4354	-11.3505	0.2	1.3	Wooden_thin	-1:-1	2
4	./Images/001/greeting-JP.png	37.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-4.770879	-11.382	0.2	1.3	Wooden_thin	-1:-1	3
5	./Images/001/歌川国芳/画像/1 八代目市川団十郎の白井権八　五代目沢村宗十郎の白柄十右衛門.jpg	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	25.27679	-10.374	0.2	2	Wooden_thin2	-1:-1	4
6	./Images/001/歌川国芳/キャプション/01-EN.png	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	43.34146	-15.981	0.2	1	Wooden_thin2	-1:-1	5
7	./Images/001/歌川国芳/キャプション/01-JP.png	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	43.36112	-10.815	0.2	1	Wooden_thin2	-1:-1	6
8	./Images/001/歌川国芳/画像/2 英雄大倭十二士　佐々木三郎盛綱.jpg	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	-13.54105	-9.870003	0.2	1.6	Wooden_thin2	-1:-1	7
9	./Images/001/歌川国芳/キャプション/02-JP.png	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	2.472513	-8.043	0.2	1	Wooden_thin2	-1:-1	8
10	./Images/001/歌川国芳/キャプション/03-EN.png	58.5,37.5,100	0,0,-1	0,1,0	1,0,0	2.505577	-15.79201	0.2	1	Wooden_thin2	-1:-1	9
11	./Images/001/歌川国芳/画像/3 英雄大倭十二士　楠河内判官正成.jpg	58.5,37.5,140	0,0,-1	0,1,0	1,0,0	-12.95622	-10.5315	0.2	1.6	Wooden_thin2	-1:-1	10
12	./Images/001/歌川国芳/キャプション/02-JP.png	58.5,37.5,140	0,0,-1	0,1,0	1,0,0	2.469564	-8.2005	0.2	1	Wooden_thin2	-1:-1	11
13	./Images/001/歌川国芳/キャプション/03-EN.png	58.5,37.5,140	0,0,-1	0,1,0	1,0,0	2.4903	-16.044	0.2	1	Wooden_thin2	-1:-1	12
14	./Images/001/歌川国芳/画像/4 英雄大倭十二士　梶原平三景時.jpg	58.5,37.5,140	0,0,-1	0,1,0	1,0,0	-49.37135	-10.5	0.2	1.6	Wooden_thin2	-1:-1	13
15	./Images/001/歌川国芳/キャプション/04-EN.png	58.5,37.5,140	0,0,-1	0,1,0	1,0,0	-33.55275	-16.1385	0.2	1	Wooden_thin2	-1:-1	14
